trial,snr,fusion_mode,f1,precision,recall,weights_file,epoch_log
1,6,weighted_sum,0.845282,0.849876,0.845909,/kaggle/working/outputs/model_nas_snr+6_trial1_f10.8453.weights.h5,/kaggle/working/outputs/epoch_log_nas_snr+6_trial1.csv
2,6,weighted_sum,0.831189,0.845242,0.831818,/kaggle/working/outputs/model_nas_snr+6_trial2_f10.8312.weights.h5,/kaggle/working/outputs/epoch_log_nas_snr+6_trial2.csv
