snr,trial,f1,precision,recall,arch,aug,timestamp
6,1,0.687801,0.673455,0.734091,"[(2, [32, 128], 5, 2, [512], [10], 0.0), (2, [128, 128], 7, 2, [512], [15], 0.0), (2, [32, 32], 3, 2, [2048], [10], 0.1), (2, [128, 128], 7, 2, [2048], [15], 0.0)]",AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:54:29.192334
6,2,0.715513,0.700451,0.761364,"[(3, [32, 32, 64], 3, 3, [1024], [15], 0.1), (2, [128, 64], 5, 2, [2048], [10], 0.1), (2, [64, 32], 3, 2, [512], [10], 0.001), (2, [64, 128], 3, 2, [2048], [10], 0.001)]",AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:55:29.162980
6,3,0.726765,0.713046,0.772727,"[(2, [64, 64], 3, 2, [2048], [15], 0.1), (2, [32, 128], 7, 2, [2048], [15], 0.1), (2, [64, 64], 3, 2, [1024], [15], 0.001), (3, [128, 32, 32], 7, 3, [2048], [15], 0.0)]",AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T19:54:31.340364
6,4,0.702919,0.688637,0.749091,"[(2, [32, 64], 5, 2, [512], [10], 0.1), (2, [128, 64], 5, 2, [2048], [10], 0.1), (2, [128, 32], 3, 2, [512], [10], 0.0), (2, [64, 64], 5, 2, [2048], [10], 0.1)]",AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T20:47:16.959452
