true_pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,150,0,2,2,0,0,0,0,0,46,0
AM-DSB,0,0,0,0,0,200,0,0,0,0,0
AM-SSB,0,0,200,0,0,0,0,0,0,0,0
BPSK,0,0,5,195,0,0,0,0,0,0,0
CPFSK,0,0,0,0,200,0,0,0,0,0,0
GFSK,0,0,0,0,0,200,0,0,0,0,0
PAM4,0,0,0,1,0,0,199,0,0,0,0
QAM16,0,0,0,0,0,0,0,199,1,0,0
QAM64,0,0,2,0,0,0,0,0,198,0,0
QPSK,51,0,1,0,0,0,0,0,0,148,0
WBFM,0,0,0,0,0,200,0,0,0,0,0
