epoch,loss,aug
92,0.087483,AutoSMC + IQ-Mixup (Method 1) [Fixed]
93,0.081201,AutoSMC + IQ-Mixup (Method 1) [Fixed]
94,0.079168,AutoSMC + IQ-Mixup (Method 1) [Fixed]
95,0.084666,AutoSMC + IQ-Mixup (Method 1) [Fixed]
96,0.074688,AutoSMC + IQ-Mixup (Method 1) [Fixed]
97,0.076572,AutoSMC + IQ-Mixup (Method 1) [Fixed]
98,0.075862,AutoSMC + IQ-Mixup (Method 1) [Fixed]
99,0.079563,AutoSMC + IQ-Mixup (Method 1) [Fixed]
100,0.077074,AutoSMC + IQ-Mixup (Method 1) [Fixed]
101,0.147296,AutoSMC + IQ-Mixup (Method 1) [Fixed]
102,0.141617,AutoSMC + IQ-Mixup (Method 1) [Fixed]
103,0.119300,AutoSMC + IQ-Mixup (Method 1) [Fixed]
104,0.131950,AutoSMC + IQ-Mixup (Method 1) [Fixed]
105,0.117867,AutoSMC + IQ-Mixup (Method 1) [Fixed]
106,0.117814,AutoSMC + IQ-Mixup (Method 1) [Fixed]
107,0.116940,AutoSMC + IQ-Mixup (Method 1) [Fixed]
108,0.110986,AutoSMC + IQ-Mixup (Method 1) [Fixed]
109,0.114491,AutoSMC + IQ-Mixup (Method 1) [Fixed]
110,0.113451,AutoSMC + IQ-Mixup (Method 1) [Fixed]
111,0.110290,AutoSMC + IQ-Mixup (Method 1) [Fixed]
112,0.118442,AutoSMC + IQ-Mixup (Method 1) [Fixed]
113,0.112182,AutoSMC + IQ-Mixup (Method 1) [Fixed]
114,0.105045,AutoSMC + IQ-Mixup (Method 1) [Fixed]
115,0.119948,AutoSMC + IQ-Mixup (Method 1) [Fixed]
116,0.120497,AutoSMC + IQ-Mixup (Method 1) [Fixed]
117,0.106035,AutoSMC + IQ-Mixup (Method 1) [Fixed]
118,0.101378,AutoSMC + IQ-Mixup (Method 1) [Fixed]
119,0.107535,AutoSMC + IQ-Mixup (Method 1) [Fixed]
120,0.115664,AutoSMC + IQ-Mixup (Method 1) [Fixed]
121,0.114136,AutoSMC + IQ-Mixup (Method 1) [Fixed]
122,0.113126,AutoSMC + IQ-Mixup (Method 1) [Fixed]
123,0.102562,AutoSMC + IQ-Mixup (Method 1) [Fixed]
124,0.106061,AutoSMC + IQ-Mixup (Method 1) [Fixed]
125,0.101455,AutoSMC + IQ-Mixup (Method 1) [Fixed]
126,0.100448,AutoSMC + IQ-Mixup (Method 1) [Fixed]
127,0.103556,AutoSMC + IQ-Mixup (Method 1) [Fixed]
128,0.097896,AutoSMC + IQ-Mixup (Method 1) [Fixed]
129,0.106932,AutoSMC + IQ-Mixup (Method 1) [Fixed]
130,0.093139,AutoSMC + IQ-Mixup (Method 1) [Fixed]
131,0.100428,AutoSMC + IQ-Mixup (Method 1) [Fixed]
132,0.096419,AutoSMC + IQ-Mixup (Method 1) [Fixed]
133,0.094515,AutoSMC + IQ-Mixup (Method 1) [Fixed]
134,0.098001,AutoSMC + IQ-Mixup (Method 1) [Fixed]
135,0.097387,AutoSMC + IQ-Mixup (Method 1) [Fixed]
136,0.098697,AutoSMC + IQ-Mixup (Method 1) [Fixed]
137,0.102385,AutoSMC + IQ-Mixup (Method 1) [Fixed]
138,0.099026,AutoSMC + IQ-Mixup (Method 1) [Fixed]
139,0.092644,AutoSMC + IQ-Mixup (Method 1) [Fixed]
140,0.088583,AutoSMC + IQ-Mixup (Method 1) [Fixed]
141,0.091166,AutoSMC + IQ-Mixup (Method 1) [Fixed]
142,0.091035,AutoSMC + IQ-Mixup (Method 1) [Fixed]
143,0.097623,AutoSMC + IQ-Mixup (Method 1) [Fixed]
144,0.090759,AutoSMC + IQ-Mixup (Method 1) [Fixed]
145,0.102976,AutoSMC + IQ-Mixup (Method 1) [Fixed]
146,0.090285,AutoSMC + IQ-Mixup (Method 1) [Fixed]
147,0.096242,AutoSMC + IQ-Mixup (Method 1) [Fixed]
148,0.098734,AutoSMC + IQ-Mixup (Method 1) [Fixed]
149,0.092931,AutoSMC + IQ-Mixup (Method 1) [Fixed]
150,0.091246,AutoSMC + IQ-Mixup (Method 1) [Fixed]
151,0.095292,AutoSMC + IQ-Mixup (Method 1) [Fixed]
152,0.084979,AutoSMC + IQ-Mixup (Method 1) [Fixed]
153,0.090639,AutoSMC + IQ-Mixup (Method 1) [Fixed]
154,0.087647,AutoSMC + IQ-Mixup (Method 1) [Fixed]
155,0.089864,AutoSMC + IQ-Mixup (Method 1) [Fixed]
156,0.091946,AutoSMC + IQ-Mixup (Method 1) [Fixed]
157,0.081327,AutoSMC + IQ-Mixup (Method 1) [Fixed]
158,0.092221,AutoSMC + IQ-Mixup (Method 1) [Fixed]
159,0.090645,AutoSMC + IQ-Mixup (Method 1) [Fixed]
160,0.089967,AutoSMC + IQ-Mixup (Method 1) [Fixed]
161,0.086981,AutoSMC + IQ-Mixup (Method 1) [Fixed]
162,0.089454,AutoSMC + IQ-Mixup (Method 1) [Fixed]
163,0.077351,AutoSMC + IQ-Mixup (Method 1) [Fixed]
164,0.081932,AutoSMC + IQ-Mixup (Method 1) [Fixed]
165,0.083391,AutoSMC + IQ-Mixup (Method 1) [Fixed]
166,0.077304,AutoSMC + IQ-Mixup (Method 1) [Fixed]
167,0.076744,AutoSMC + IQ-Mixup (Method 1) [Fixed]
168,0.089947,AutoSMC + IQ-Mixup (Method 1) [Fixed]
169,0.080490,AutoSMC + IQ-Mixup (Method 1) [Fixed]
170,0.076106,AutoSMC + IQ-Mixup (Method 1) [Fixed]
171,0.077119,AutoSMC + IQ-Mixup (Method 1) [Fixed]
172,0.071160,AutoSMC + IQ-Mixup (Method 1) [Fixed]
173,0.079738,AutoSMC + IQ-Mixup (Method 1) [Fixed]
174,0.077252,AutoSMC + IQ-Mixup (Method 1) [Fixed]
