epoch,nt_xent_loss
1,7.607822118486677
2,4.403511156354631
3,3.6576975209372384
4,3.3010537556239536
5,3.0361533641815184
6,2.8345289025987896
7,2.672989661352975
8,2.596567961147853
9,2.539487654822213
10,2.4312791517802648
11,2.3920372111456736
12,2.3950779506138393
13,2.328866638456072
14,2.3336750234876362
15,2.267057466506958
16,2.1948571511677333
17,2.1505189418792723
18,2.1443598304476055
19,2.1353245973587036
20,2.1108260563441683
21,2.1172355617795673
22,2.082057459013803
23,2.0420815331595286
24,2.0041075672422135
25,1.9743229627609253
26,1.9596848487854004
27,1.9267910139901296
28,1.9525191170828684
29,1.9397521836417062
30,1.9168560743331908
31,1.9183519669941493
32,1.9029670442853654
33,1.9347783974238804
34,1.9469375235693795
35,1.9048419441495623
36,1.8857939141137259
37,1.8376744338444302
38,1.8012974160058157
39,1.757140564918518
40,1.7551663177353996
41,1.760794688974108
42,1.7431721891675676
43,1.7334246499197823
44,1.7480152726173401
45,1.7976124797548567
46,1.7668726921081543
47,1.7341775689806258
48,1.7612836633409772
49,1.692309648650033
50,1.7362577813012259
51,1.7250332048961095
52,1.7535198620387487
53,1.7064243146351405
54,1.6653273514338902
55,1.6473251921789986
56,1.6934198754174368
57,1.7737932103020804
58,1.7900056055613927
59,1.7906226430620467
60,1.7933028732027327
61,1.9112038680485317
62,1.8429424626486641
63,1.8328578335898262
64,1.895931441443307
65,2.1173213481903077
66,2.0497957161494664
67,2.0868500879832674
68,2.134011902127947
69,2.3209104367664883
70,2.1217165163585117
71,2.248036125728062
72,2.2128895929881502
73,2.1940883772713797
74,2.0363277639661517
75,2.013225838116237
76,2.0728750365121025
77,2.456301883288792
78,2.2681817361286707
79,2.109678738457816
80,1.9845946618488857
81,2.0360490560531614
82,2.008205761228289
83,1.95639511517116
84,1.986117764881679
85,2.076520357813154
86,2.097918142591204
87,2.134118253844125
88,2.355247599737985
89,2.2474455867494854
90,2.1091300589697703
91,2.329030295780727
92,2.1884314230510165
93,2.025826062474932
94,1.920884098325457
95,1.880608582496643
96,1.8485154935291834
97,1.880305654661996
98,1.8385732548577445
99,1.8186393056597028
100,1.8302979843957083
101,1.7510792187282018
102,1.7122530681746346
103,1.726772972515651
104,1.6908869198390415
105,1.6954836334500993
106,1.663182384627206
107,1.6949254018919808
108,1.7148109095437185
109,1.6307738883154732
110,1.5983269998005458
111,1.706759442601885
112,1.6788645233426776
113,1.6598458766937256
114,1.6925621271133422
115,1.684004499231066
116,1.709687658718654
117,1.6777067695345198
118,1.6269763946533202
119,1.59028559923172
120,1.5931282911981854
121,1.5825126767158508
122,1.5761329446520125
123,1.5437169296400888
124,1.5544630272047861
125,1.5506677389144898
126,1.579588110106332
127,1.550728188242231
128,1.5269886084965296
129,1.5144227572849818
130,1.5560321978160314
131,1.5124138593673706
132,1.5596440792083741
133,1.529823202746255
134,1.5083879504884992
135,1.5528622712407794
136,1.6126484325953891
137,1.649824047088623
138,1.585300964968545
139,1.564002241407122
140,1.5116690226963587
141,1.5044994422367641
142,1.5255015577588762
143,1.504626258781978
144,1.4935965963772364
145,1.5216119919504438
146,1.4740007042884826
147,1.4606915439878192
148,1.4421498230525425
149,1.4515956929751805
150,1.4243777564593725
151,1.3996759857450212
152,1.417800065449306
153,1.418092521599361
154,1.3527961305209568
155,1.3549215027264185
156,1.361747292109898
157,1.3688061935561044
158,1.3582084723881314
159,1.342507118838174
160,1.3616182940346855
161,1.362028419971466
162,1.3398198706763131
163,1.314371073246002
164,1.32734078509467
165,1.314250988619668
166,1.3128850153514318
167,1.334259831905365
168,1.3256703393799918
169,1.2985087990760804
170,1.2924422809055873
171,1.286180419581277
172,1.2687685574804033
173,1.2636222413608007
174,1.2705391594341824
175,1.2797635095460074
176,1.2589687023844038
177,1.2480347548212325
178,1.2664556281907218
179,1.2550374022551944
180,1.2573036789894103
181,1.2678137966564724
182,1.2526859947613307
183,1.2460580502237593
184,1.2508907573563712
185,1.265563338143485
186,1.2301611576761518
187,1.2303668243544443
188,1.2362360545567104
189,1.2336331691060747
190,1.229360224519457
191,1.221838687147413
192,1.2158212167876108
193,1.1974686009543283
194,1.1895885484559194
195,1.1921050701822553
196,1.193956550530025
197,1.1942463959966387
198,1.1926645806857519
199,1.1956434556416102
200,1.1940571529524666
201,1.2093131576265608
202,1.2034304124968394
203,1.2064050129481725
204,1.2147722363471984
205,1.1980990477970668
206,1.2124902759279523
207,1.208393681049347
208,1.1914574657167707
209,1.191714254447392
210,1.191033354827336
211,1.1794230716569083
212,1.1685644234929766
213,1.1733467510768345
214,1.163111082145146
215,1.1601189477103098
216,1.1814129999705723
217,1.1727607045854842
218,1.1628908600125993
219,1.159076326234
220,1.1658154674938748
221,1.1655668207577297
222,1.1776667305401394
223,1.16622143302645
224,1.160434867654528
225,1.1445866584777833
226,1.1620776568140303
227,1.1470236795289175
228,1.1450602190835135
229,1.1584076421601432
230,1.1462721262659346
231,1.1510332482201713
232,1.139636811188289
233,1.1501195686204093
234,1.1387365409306118
235,1.1426074964659554
236,1.153038627760751
237,1.1211321030344281
238,1.1351687107767379
239,1.147871788910457
240,1.133765745162964
241,1.135874421255929
242,1.1398654784475053
243,1.13282174212592
244,1.1389150398118155
245,1.1407801849501473
246,1.1348521896771022
247,1.1343151552336557
248,1.1338295340538025
249,1.1198659488133023
250,1.1280767474855695
251,1.1321878228868758
252,1.1215184262820652
253,1.1197949188096183
254,1.1167934264455524
255,1.118220525128501
256,1.1234353763716562
257,1.1161969116755894
258,1.1050473485674177
259,1.1170662692614963
260,1.113103233064924
261,1.1146496210779462
262,1.1116599406514849
263,1.124867684500558
264,1.1089061907359532
265,1.1021017210824149
266,1.129653092793056
267,1.1153988003730775
268,1.1076197232518876
269,1.1132468325751168
270,1.1026938608714512
271,1.117977569784437
272,1.1081090245928082
273,1.1019716961043222
274,1.1053789513451713
275,1.1124992404665266
276,1.1170335837772913
277,1.1083772190979548
278,1.1098311407225472
279,1.1071189437593734
280,1.103801383290972
281,1.1220972282545907
282,1.11120285987854
283,1.1135154621941703
284,1.1010174104145596
285,1.1025669080870493
286,1.0998346567153932
287,1.1152741960116794
288,1.1043769001960755
289,1.1039164534636907
290,1.1079252805028643
291,1.107077329499381
292,1.1145954608917237
293,1.1086506519998822
294,1.1049283828054155
295,1.1110291685376847
296,1.1135883365358625
297,1.0971335002354212
298,1.1043371524129595
299,1.1082659193447657
300,1.107481266771044
