epoch,train_loss,val_f1,val_precision,val_recall,lr
1,1.761879,0.015152,0.008264,0.090909,1.00e-04
2,1.227823,0.015152,0.008264,0.090909,2.00e-04
3,1.057409,0.015152,0.008264,0.090909,3.00e-04
4,0.989521,0.016604,0.009137,0.090909,4.00e-04
5,0.939114,0.015152,0.008264,0.090909,5.00e-04
6,0.911011,0.040024,0.025633,0.091364,6.00e-04
7,0.873378,0.039569,0.025288,0.090909,7.00e-04
8,0.876466,0.086569,0.105311,0.179545,8.00e-04
9,0.843255,0.256109,0.294135,0.314545,9.00e-04
10,0.842298,0.614225,0.688171,0.621818,1.00e-03
11,0.820399,0.684364,0.731731,0.699545,1.00e-03
12,0.780858,0.5306,0.5402,0.603636,1.00e-03
13,0.800312,0.38965,0.583137,0.453636,9.99e-04
14,0.75684,0.462092,0.553705,0.545455,9.98e-04
15,0.74582,0.614354,0.645357,0.669091,9.97e-04
16,0.743987,0.575827,0.636357,0.634091,9.95e-04
17,0.732697,0.558918,0.59653,0.629091,9.93e-04
18,0.724866,0.198343,0.550428,0.235,9.91e-04
19,0.721614,0.631176,0.703174,0.652273,9.88e-04
20,0.731739,0.105145,0.095634,0.180909,9.84e-04
21,0.72315,0.105138,0.09563,0.180909,9.81e-04
22,0.716036,0.260714,0.489326,0.302727,9.77e-04
23,0.719996,0.117215,0.186649,0.187273,9.72e-04
24,0.709545,0.695972,0.747246,0.725455,9.68e-04
25,0.711373,0.10513,0.095625,0.180909,9.63e-04
26,0.706364,0.542083,0.606342,0.613182,9.57e-04
27,0.706464,0.561298,0.606021,0.632273,9.51e-04
28,0.712361,0.526812,0.642902,0.603636,9.45e-04
29,0.708064,0.604409,0.689508,0.640455,9.39e-04
30,0.712525,0.105138,0.09563,0.180909,9.32e-04
31,0.69581,0.308095,0.471516,0.356364,9.25e-04
32,0.696636,0.665839,0.66436,0.697727,9.17e-04
33,0.706546,0.660556,0.660678,0.690909,9.09e-04
34,0.690997,0.642378,0.726878,0.680455,9.01e-04
35,0.693802,0.126518,0.223457,0.125,8.93e-04
36,0.687757,0.386867,0.794496,0.456364,8.84e-04
37,0.686742,0.104917,0.095614,0.180455,8.75e-04
38,0.688031,0.511305,0.479606,0.582273,8.66e-04
39,0.68634,0.811985,0.87514,0.815455,8.56e-04
40,0.688473,0.10513,0.095625,0.180909,8.46e-04
41,0.679756,0.506632,0.486906,0.580455,8.36e-04
42,0.678292,0.117138,0.278437,0.186364,8.26e-04
43,0.678266,0.228906,0.514992,0.256364,8.15e-04
44,0.677183,0.511311,0.574753,0.567727,8.04e-04
45,0.686875,0.14407,0.327065,0.201364,7.93e-04
46,0.679117,0.135828,0.234061,0.197727,7.82e-04
47,0.676647,0.512187,0.645298,0.507727,7.70e-04
48,0.679941,0.466616,0.539563,0.551818,7.59e-04
49,0.681243,0.209243,0.46478,0.244091,7.47e-04
