epoch,train_loss,val_f1,val_precision,val_recall,lr
1,1.783631,0.015152,0.008264,0.090909,1.00e-04
2,1.214815,0.015152,0.008264,0.090909,2.00e-04
3,1.073947,0.016604,0.009137,0.090909,3.00e-04
4,1.000794,0.015152,0.008264,0.090909,4.00e-04
5,0.949378,0.016964,0.099181,0.091818,5.00e-04
6,0.913555,0.015152,0.008264,0.090909,6.00e-04
7,0.878486,0.173974,0.236565,0.232273,7.00e-04
8,0.843878,0.142006,0.151932,0.201364,8.00e-04
9,0.829085,0.465408,0.596637,0.531364,9.00e-04
10,0.802133,0.606417,0.655184,0.652273,1.00e-03
11,0.775136,0.105153,0.095639,0.180909,1.00e-03
12,0.768111,0.106103,0.186575,0.181364,1.00e-03
13,0.775994,0.259761,0.50116,0.282727,9.99e-04
14,0.757057,0.151415,0.382557,0.205909,9.98e-04
15,0.744179,0.139892,0.352968,0.200455,9.97e-04
16,0.73263,0.106057,0.186548,0.181364,9.95e-04
17,0.729758,0.849376,0.875513,0.860455,9.93e-04
18,0.720636,0.545163,0.679795,0.540909,9.91e-04
19,0.712027,0.264562,0.544023,0.287727,9.88e-04
20,0.718861,0.105138,0.09563,0.180909,9.84e-04
21,0.706865,0.10605,0.186544,0.181364,9.81e-04
22,0.699436,0.57721,0.648936,0.628636,9.77e-04
23,0.719894,0.742892,0.82663,0.772273,9.72e-04
24,0.698801,0.168152,0.468963,0.151818,9.68e-04
25,0.708323,0.653875,0.773909,0.687727,9.63e-04
26,0.710966,0.283095,0.384952,0.359091,9.57e-04
27,0.692043,0.212033,0.323325,0.280455,9.51e-04
28,0.699241,0.329146,0.557437,0.337273,9.45e-04
29,0.69199,0.166734,0.447562,0.213636,9.39e-04
30,0.692261,0.504905,0.490088,0.588182,9.32e-04
31,0.706178,0.764861,0.840804,0.787727,9.25e-04
32,0.70492,0.161773,0.208276,0.207727,9.17e-04
33,0.690153,0.122473,0.264643,0.180909,9.09e-04
34,0.682502,0.498897,0.496431,0.566818,9.01e-04
35,0.685417,0.15116,0.54651,0.184091,8.93e-04
36,0.711441,0.482751,0.724114,0.504091,8.84e-04
37,0.691656,0.195595,0.545667,0.233182,8.75e-04
38,0.691558,0.18721,0.4879,0.228636,8.66e-04
39,0.682121,0.104917,0.095614,0.180455,8.56e-04
40,0.678152,0.58602,0.673054,0.606364,8.46e-04
41,0.677911,0.500174,0.792804,0.546818,8.36e-04
42,0.667718,0.682803,0.780481,0.713182,8.26e-04
43,0.662072,0.080737,0.096269,0.140909,8.15e-04
44,0.676292,0.517292,0.601255,0.594091,8.04e-04
45,0.68326,0.10605,0.186544,0.181364,7.93e-04
46,0.673322,0.106057,0.186548,0.181364,7.82e-04
47,0.673299,0.105168,0.095648,0.180909,7.70e-04
48,0.670857,0.220253,0.53582,0.246364,7.59e-04
49,0.665614,0.30052,0.605151,0.314091,7.47e-04
50,0.66429,0.75636,0.847953,0.790909,7.35e-04
51,0.665406,0.451312,0.503936,0.541364,7.22e-04
52,0.673627,0.875584,0.88303,0.877727,7.10e-04
53,0.658545,0.421272,0.473009,0.506818,6.97e-04
54,0.661461,0.777393,0.85815,0.809091,6.85e-04
55,0.664731,0.820834,0.852685,0.832727,6.72e-04
56,0.649894,0.402584,0.624362,0.409091,6.59e-04
57,0.651092,0.591689,0.659067,0.631364,6.46e-04
58,0.653941,0.306407,0.660518,0.330909,6.33e-04
59,0.644591,0.684857,0.69188,0.711818,6.19e-04
60,0.644987,0.825862,0.852265,0.832273,6.06e-04
61,0.654572,0.235297,0.395517,0.268636,5.93e-04
62,0.651909,0.537566,0.590703,0.614091,5.79e-04
63,0.645643,0.546088,0.566893,0.625909,5.66e-04
64,0.645281,0.384003,0.60499,0.378636,5.52e-04
65,0.642956,0.59544,0.667564,0.601364,5.39e-04
66,0.651466,0.74314,0.842561,0.750909,5.25e-04
67,0.643964,0.515842,0.573202,0.592273,5.11e-04
68,0.638324,0.051228,0.421331,0.110909,4.98e-04
69,0.636804,0.329243,0.612567,0.352727,4.84e-04
70,0.628164,0.504005,0.625296,0.52,4.71e-04
71,0.63823,0.788572,0.828576,0.803636,4.57e-04
72,0.643014,0.483989,0.635593,0.473636,4.44e-04
73,0.642774,0.877687,0.908088,0.886364,4.31e-04
74,0.630958,0.560075,0.596874,0.624091,4.17e-04
75,0.632417,0.601702,0.634384,0.645455,4.04e-04
76,0.631529,0.497937,0.553006,0.564091,3.91e-04
77,0.629791,0.100311,0.095598,0.171364,3.78e-04
78,0.632934,0.58557,0.603766,0.640455,3.65e-04
79,0.625016,0.817419,0.860888,0.828636,3.53e-04
80,0.624649,0.800409,0.842446,0.811364,3.40e-04
81,0.622844,0.612016,0.610985,0.669545,3.28e-04
82,0.617373,0.565215,0.611659,0.641364,3.15e-04
83,0.620676,0.855616,0.869094,0.860909,3.03e-04
84,0.623878,0.555666,0.591372,0.620909,2.91e-04
85,0.616573,0.656837,0.754972,0.667727,2.80e-04
86,0.616897,0.790141,0.874752,0.798182,2.68e-04
87,0.616951,0.536371,0.637213,0.548182,2.57e-04
88,0.613636,0.16553,0.510635,0.193636,2.46e-04
89,0.61607,0.707075,0.749921,0.731364,2.35e-04
90,0.614734,0.541314,0.546211,0.612273,2.24e-04
91,0.611168,0.694014,0.712756,0.728636,2.14e-04
92,0.609543,0.822209,0.864527,0.834091,2.04e-04
93,0.607688,0.704188,0.748671,0.724091,1.94e-04
94,0.605769,0.862119,0.87795,0.864091,1.84e-04
95,0.604134,0.574561,0.605912,0.64,1.75e-04
96,0.604297,0.623231,0.637263,0.663182,1.66e-04
97,0.604536,0.621502,0.671356,0.641818,1.57e-04
