true_pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,192,0,2,0,0,0,0,0,0,6,0
AM-DSB,0,153,0,0,0,0,0,0,0,0,47
AM-SSB,0,0,200,0,0,0,0,0,0,0,0
BPSK,0,0,5,194,0,0,1,0,0,0,0
CPFSK,0,0,0,0,200,0,0,0,0,0,0
GFSK,0,0,0,0,0,200,0,0,0,0,0
PAM4,0,0,0,0,0,0,200,0,0,0,0
QAM16,0,0,0,0,0,0,0,199,1,0,0
QAM64,0,0,2,0,0,0,0,0,198,0,0
QPSK,1,0,1,0,0,0,0,0,1,197,0
WBFM,0,64,0,0,0,2,0,0,0,0,134
