epoch,train_loss,val_f1,val_precision,val_recall,lr
1,1.73281,0.015152,0.008264,0.090909,1.00e-04
2,1.135576,0.015152,0.008264,0.090909,2.00e-04
3,1.001949,0.015152,0.008264,0.090909,3.00e-04
4,0.922739,0.015152,0.008264,0.090909,4.00e-04
5,0.894103,0.021844,0.041406,0.094545,5.00e-04
6,0.840099,0.068779,0.052504,0.154545,6.00e-04
7,0.814524,0.065898,0.045211,0.149091,7.00e-04
8,0.793362,0.061932,0.169983,0.100909,8.00e-04
9,0.767887,0.263469,0.257581,0.349545,9.00e-04
10,0.76765,0.430918,0.64298,0.528182,1.00e-03
11,0.741978,0.667198,0.768693,0.706818,1.00e-03
12,0.730319,0.65961,0.753416,0.691818,1.00e-03
13,0.728194,0.722298,0.839768,0.760909,9.99e-04
14,0.725019,0.652619,0.791318,0.707273,9.98e-04
15,0.720092,0.527086,0.614232,0.592727,9.97e-04
16,0.719814,0.77692,0.839296,0.797727,9.95e-04
17,0.689419,0.873562,0.886197,0.877727,9.93e-04
18,0.695716,0.733957,0.812919,0.727727,9.91e-04
19,0.685476,0.687577,0.809234,0.735455,9.88e-04
20,0.690424,0.765841,0.863944,0.798182,9.84e-04
21,0.678651,0.638243,0.688212,0.652727,9.81e-04
22,0.678159,0.328288,0.59519,0.338636,9.77e-04
23,0.675592,0.655091,0.854893,0.726818,9.72e-04
24,0.687665,0.770724,0.870013,0.802727,9.68e-04
25,0.674304,0.651141,0.826423,0.698182,9.63e-04
26,0.66836,0.589913,0.670088,0.639091,9.57e-04
27,0.665463,0.765404,0.846774,0.790455,9.51e-04
28,0.66763,0.786312,0.86435,0.810455,9.45e-04
29,0.678015,0.796484,0.852062,0.813182,9.39e-04
30,0.663918,0.746549,0.780828,0.766364,9.32e-04
31,0.672186,0.626409,0.737418,0.664545,9.25e-04
32,0.669286,0.657481,0.762999,0.700909,9.17e-04
33,0.673968,0.50149,0.676271,0.58,9.09e-04
34,0.662595,0.409352,0.606154,0.419545,9.01e-04
35,0.669672,0.268698,0.514429,0.27,8.93e-04
36,0.668587,0.574103,0.759426,0.638636,8.84e-04
37,0.661959,0.712045,0.809548,0.745909,8.75e-04
38,0.652105,0.614701,0.660753,0.64,8.66e-04
39,0.662954,0.487232,0.693773,0.547727,8.56e-04
40,0.64981,0.531964,0.687213,0.572727,8.46e-04
41,0.656889,0.634853,0.838,0.697727,8.36e-04
42,0.654152,0.681912,0.841823,0.733182,8.26e-04
43,0.644508,0.62083,0.671794,0.640455,8.15e-04
44,0.646127,0.819576,0.844695,0.822273,8.04e-04
45,0.647205,0.850773,0.888407,0.866364,7.93e-04
46,0.648986,0.838492,0.861964,0.843636,7.82e-04
47,0.643118,0.738289,0.860838,0.784091,7.70e-04
48,0.639386,0.688475,0.796226,0.728182,7.59e-04
49,0.644629,0.720306,0.790748,0.747727,7.47e-04
50,0.638378,0.724832,0.793708,0.758182,7.35e-04
51,0.635589,0.572797,0.62418,0.630909,7.22e-04
52,0.646031,0.751923,0.822099,0.780455,7.10e-04
53,0.646031,0.685701,0.810972,0.723182,6.97e-04
54,0.63671,0.531981,0.575577,0.615455,6.85e-04
55,0.642201,0.545828,0.61736,0.588182,6.72e-04
56,0.632875,0.78852,0.835643,0.799545,6.59e-04
57,0.628546,0.621914,0.721293,0.665,6.46e-04
58,0.626599,0.848202,0.878719,0.858636,6.33e-04
59,0.627037,0.627021,0.748814,0.674091,6.19e-04
60,0.622658,0.752668,0.853866,0.782727,6.06e-04
61,0.617824,0.624602,0.67401,0.657727,5.93e-04
62,0.622932,0.319405,0.624127,0.322273,5.79e-04
63,0.619697,0.608645,0.623356,0.649091,5.66e-04
64,0.613224,0.527213,0.585192,0.588636,5.52e-04
65,0.616704,0.609464,0.764411,0.653182,5.39e-04
66,0.61169,0.815827,0.846454,0.822727,5.25e-04
67,0.608575,0.678554,0.710769,0.698182,5.11e-04
68,0.607715,0.841429,0.86215,0.844545,4.98e-04
69,0.608146,0.714138,0.80417,0.748182,4.84e-04
70,0.602466,0.737152,0.793792,0.745,4.71e-04
71,0.59169,0.742647,0.836345,0.779091,4.57e-04
72,0.594312,0.877796,0.883898,0.883636,4.44e-04
73,0.585843,0.806999,0.858816,0.822727,4.31e-04
74,0.586536,0.766825,0.86444,0.802727,4.17e-04
75,0.583247,0.730953,0.834036,0.765909,4.04e-04
76,0.581872,0.451379,0.533537,0.427727,3.91e-04
77,0.576294,0.807267,0.841396,0.815909,3.78e-04
78,0.56301,0.836122,0.851261,0.835455,3.65e-04
79,0.564346,0.803147,0.868826,0.820909,3.53e-04
80,0.564136,0.741512,0.798524,0.747273,3.40e-04
81,0.55932,0.871888,0.880833,0.873182,3.28e-04
82,0.558008,0.789617,0.845962,0.809091,3.15e-04
83,0.551423,0.8467,0.861384,0.849545,3.03e-04
84,0.548232,0.890364,0.891255,0.890909,2.91e-04
85,0.549833,0.863543,0.873947,0.862273,2.80e-04
86,0.545287,0.862893,0.872301,0.865909,2.68e-04
87,0.545496,0.891659,0.892127,0.891818,2.57e-04
88,0.543415,0.852386,0.865813,0.853182,2.46e-04
89,0.537873,0.775448,0.842983,0.799545,2.35e-04
90,0.534545,0.856656,0.869719,0.859545,2.24e-04
91,0.534969,0.789647,0.842333,0.807273,2.14e-04
92,0.531073,0.763108,0.83727,0.792727,2.04e-04
93,0.533276,0.850733,0.860849,0.850909,1.94e-04
94,0.530355,0.770881,0.815527,0.792273,1.84e-04
95,0.53021,0.854097,0.866775,0.855455,1.75e-04
96,0.527066,0.803078,0.850696,0.816364,1.66e-04
97,0.530564,0.870935,0.876759,0.872727,1.57e-04
98,0.52782,0.806732,0.849635,0.818636,1.49e-04
99,0.524295,0.866002,0.874156,0.866364,1.41e-04
100,0.524718,0.890766,0.892091,0.890455,1.33e-04
101,0.526191,0.831561,0.860267,0.838182,1.25e-04
102,0.524904,0.885291,0.888428,0.886364,1.18e-04
103,0.525481,0.87421,0.877128,0.874091,1.11e-04
104,0.524222,0.828947,0.857964,0.835,1.05e-04
105,0.524214,0.892921,0.894198,0.892727,9.87e-05
106,0.524722,0.890135,0.8919,0.890455,9.29e-05
107,0.523751,0.870758,0.878556,0.870909,8.75e-05
108,0.523542,0.894344,0.895253,0.894091,8.24e-05
109,0.522206,0.876449,0.880414,0.876364,7.76e-05
110,0.523238,0.890466,0.894934,0.891364,7.32e-05
111,0.523578,0.881876,0.887033,0.882727,6.92e-05
112,0.523654,0.875208,0.879541,0.875,6.56e-05
113,0.5219,0.890956,0.892607,0.890455,6.23e-05
114,0.523199,0.88766,0.889916,0.887273,5.95e-05
115,0.521876,0.864011,0.871968,0.864091,5.70e-05
116,0.522311,0.880328,0.884033,0.880455,5.48e-05
117,0.521921,0.89078,0.892442,0.890909,5.31e-05
118,0.521382,0.894352,0.895801,0.894545,5.17e-05
119,0.522004,0.888938,0.890428,0.889091,5.08e-05
120,0.521752,0.870853,0.875754,0.870909,5.02e-05
