snr,trial,f1,precision,recall,arch,aug,timestamp
-2,1,0.817733,0.817401,0.819545,"[(2, [32, 128], 5, 2, [512], [10], 0.0), (2, [128, 128], 7, 2, [512], [15], 0.0), (2, [32, 32], 3, 2, [2048], [10], 0.1), (2, [128, 128], 7, 2, [2048], [15], 0.0)]",AutoSMC + IQ-Mixup (Method 1),2026-04-26T01:17:42.032466
-2,2,0.823763,0.823095,0.825455,"[(3, [32, 32, 64], 3, 3, [1024], [15], 0.1), (2, [128, 64], 5, 2, [2048], [10], 0.1), (2, [64, 32], 3, 2, [512], [10], 0.001), (2, [64, 128], 3, 2, [2048], [10], 0.001)]",AutoSMC + IQ-Mixup (Method 1),2026-04-26T02:10:12.826233
-2,3,0.827854,0.827951,0.828182,"[(2, [64, 64], 3, 2, [2048], [15], 0.1), (2, [32, 128], 7, 2, [2048], [15], 0.1), (2, [64, 64], 3, 2, [1024], [15], 0.001), (3, [128, 32, 32], 7, 3, [2048], [15], 0.0)]",AutoSMC + IQ-Mixup (Method 1),2026-04-26T03:01:26.860405
-2,4,0.817109,0.815922,0.820000,"[(2, [32, 64], 5, 2, [512], [10], 0.1), (2, [128, 64], 5, 2, [2048], [10], 0.1), (2, [128, 32], 3, 2, [512], [10], 0.0), (2, [64, 64], 5, 2, [2048], [10], 0.1)]",AutoSMC + IQ-Mixup (Method 1),2026-04-26T03:47:56.213116
