true_pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,123,0,1,1,4,1,0,0,0,70,0
AM-DSB,0,144,0,0,0,0,0,0,0,0,56
AM-SSB,0,0,200,0,0,0,0,0,0,0,0
BPSK,1,0,3,192,0,1,1,0,0,2,0
CPFSK,10,0,1,0,182,3,0,0,0,4,0
GFSK,0,1,0,0,0,190,0,0,0,0,9
PAM4,0,0,4,0,0,0,196,0,0,0,0
QAM16,0,0,2,0,0,0,0,198,0,0,0
QAM64,0,0,0,0,0,0,0,0,200,0,0
QPSK,97,0,3,3,3,2,0,0,0,92,0
WBFM,0,78,0,0,0,16,0,0,0,0,106
