epoch,train_loss,val_f1,val_precision,val_recall,lr
1,1.263134,0.015152,0.008264,0.090909,1.00e-03
2,0.810256,0.015164,0.008272,0.090909,1.00e-03
3,0.700254,0.015152,0.008264,0.090909,1.00e-03
4,0.655876,0.015152,0.008264,0.090909,1.00e-03
5,0.62012,0.028975,0.017234,0.090909,1.00e-03
6,0.615969,0.03276,0.01998,0.090909,1.00e-03
7,0.575985,0.015164,0.008272,0.090909,1.00e-03
8,0.510069,0.05567,0.03743,0.12,1.00e-03
9,0.536001,0.078179,0.05499,0.178182,1.00e-03
10,0.539509,0.049733,0.135083,0.094091,1.00e-03
11,0.499226,0.255829,0.343389,0.33,1.00e-03
12,0.463228,0.478543,0.572523,0.543182,1.00e-03
13,0.448537,0.401725,0.486295,0.499091,1.00e-03
14,0.51198,0.591003,0.701286,0.563636,1.00e-03
15,0.497672,0.780184,0.828504,0.809091,1.00e-03
16,0.463926,0.533685,0.669827,0.557727,1.00e-03
17,0.458408,0.551526,0.6381,0.597273,1.00e-03
18,0.441037,0.858873,0.904919,0.877727,1.00e-03
19,0.433325,0.907721,0.919464,0.910909,1.00e-03
20,0.44978,0.441498,0.681012,0.428182,1.00e-03
21,0.470267,0.603863,0.641017,0.657727,1.00e-03
22,0.463002,0.106998,0.186575,0.181818,1.00e-03
23,0.465982,0.282756,0.619774,0.291364,1.00e-03
24,0.453715,0.181989,0.582046,0.22,1.00e-03
25,0.433995,0.740223,0.84288,0.768182,1.00e-03
26,0.430652,0.593697,0.648717,0.646364,1.00e-03
27,0.422531,0.720196,0.753331,0.767727,1.00e-03
28,0.416451,0.751775,0.816562,0.795909,1.00e-03
29,0.414296,0.814654,0.869649,0.832727,1.00e-03
30,0.442174,0.126952,0.435042,0.191364,1.00e-03
31,0.46619,0.592481,0.738791,0.606818,1.00e-03
32,0.450796,0.515049,0.563645,0.592727,1.00e-03
33,0.447225,0.105138,0.09563,0.180909,1.00e-03
34,0.44178,0.672772,0.69509,0.7,1.00e-03
35,0.436322,0.527475,0.501287,0.598636,1.00e-03
36,0.429122,0.86292,0.894579,0.872727,1.00e-03
37,0.421455,0.63083,0.656078,0.680909,1.00e-03
38,0.414019,0.820704,0.876254,0.842727,1.00e-03
39,0.411633,0.920026,0.922196,0.920455,1.00e-03
40,0.404,0.787286,0.799595,0.811364,1.00e-03
41,0.40532,0.805294,0.857518,0.832273,1.00e-03
42,0.400587,0.915245,0.925509,0.918182,1.00e-03
43,0.395626,0.904589,0.913611,0.906818,1.00e-03
44,0.396454,0.913892,0.920909,0.915909,1.00e-03
45,0.413518,0.540804,0.544509,0.604091,1.00e-03
46,0.438618,0.105138,0.09563,0.180909,1.00e-03
47,0.429113,0.531366,0.658177,0.583636,1.00e-03
48,0.43601,0.105145,0.095634,0.180909,1.00e-03
49,0.433481,0.323782,0.621089,0.339545,1.00e-03
50,0.422699,0.177684,0.635709,0.220909,1.00e-03
51,0.419367,0.570737,0.624565,0.653636,1.00e-03
52,0.409294,0.451462,0.652126,0.44,1.00e-03
53,0.403161,0.183319,0.529439,0.224091,1.00e-03
54,0.40517,0.786518,0.837081,0.806818,1.00e-03
55,0.400971,0.381419,0.650293,0.369545,1.00e-03
56,0.394674,0.585476,0.635248,0.655,1.00e-03
57,0.392664,0.553926,0.683577,0.535,1.00e-03
58,0.394518,0.812729,0.863374,0.835,1.00e-03
59,0.384741,0.850824,0.885525,0.859091,1.00e-03
60,0.382606,0.899176,0.911817,0.903182,1.00e-03
61,0.380748,0.776155,0.777512,0.811364,1.00e-03
62,0.378465,0.810298,0.869155,0.834545,1.00e-03
63,0.375379,0.858716,0.89032,0.865455,1.00e-03
64,0.375093,0.890531,0.90397,0.892727,1.00e-03
65,0.37482,0.91134,0.91754,0.913182,1.00e-03
66,0.373162,0.913976,0.920221,0.915909,1.00e-03
67,0.387999,0.626301,0.635184,0.686818,1.00e-03
68,0.443123,0.09918,0.277369,0.166364,1.00e-03
69,0.414831,0.466311,0.598744,0.533636,1.00e-03
70,0.406816,0.735748,0.774681,0.768182,1.00e-03
71,0.407284,0.476843,0.532251,0.550909,1.00e-03
72,0.405948,0.110129,0.368658,0.183182,1.00e-03
73,0.404849,0.610245,0.669022,0.665909,1.00e-03
74,0.398051,0.638064,0.732982,0.675909,1.00e-03
75,0.392014,0.536817,0.546287,0.622273,1.00e-03
76,0.388057,0.625102,0.686436,0.677273,1.00e-03
77,0.39589,0.535582,0.645171,0.610455,1.00e-03
78,0.392387,0.79551,0.781256,0.825455,1.00e-03
79,0.389412,0.719436,0.714129,0.745455,1.00e-03
80,0.377819,0.550297,0.625523,0.636818,1.00e-03
