true_pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,185,0,2,1,0,0,0,0,0,12,0
AM-DSB,0,150,0,0,0,0,0,0,0,0,50
AM-SSB,0,0,200,0,0,0,0,0,0,0,0
BPSK,0,0,5,195,0,0,0,0,0,0,0
CPFSK,0,0,0,0,200,0,0,0,0,0,0
GFSK,0,0,0,0,0,200,0,0,0,0,0
PAM4,0,0,0,0,0,0,200,0,0,0,0
QAM16,1,0,0,0,0,0,0,197,2,0,0
QAM64,0,0,2,0,0,0,0,0,198,0,0
QPSK,4,0,1,0,0,0,0,0,0,195,0
WBFM,0,57,0,0,0,4,0,0,0,0,139
