snr,trial,f1,precision,recall,arch,aug,timestamp
6,1,0.893179,0.895414,0.894091,"[(2, [32, 128], 5, 2, [512], [10], 0.0), (2, [128, 128], 7, 2, [512], [15], 0.0), (2, [32, 32], 3, 2, [2048], [10], 0.1), (2, [128, 128], 7, 2, [2048], [15], 0.0)]",AutoSMC + All Methods (1+4+5 Combined),2026-04-24T15:28:37.163374
6,2,0.905451,0.905203,0.905909,"[(3, [32, 32, 64], 3, 3, [1024], [15], 0.1), (2, [128, 64], 5, 2, [2048], [10], 0.1), (2, [64, 32], 3, 2, [512], [10], 0.001), (2, [64, 128], 3, 2, [2048], [10], 0.001)]",AutoSMC + All Methods (1+4+5 Combined),2026-04-24T16:22:49.053952
6,3,0.905428,0.905408,0.905909,"[(2, [64, 64], 3, 2, [2048], [15], 0.1), (2, [32, 128], 7, 2, [2048], [15], 0.1), (2, [64, 64], 3, 2, [1024], [15], 0.001), (3, [128, 32, 32], 7, 3, [2048], [15], 0.0)]",AutoSMC + All Methods (1+4+5 Combined),2026-04-24T17:15:04.488000
