true_pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,89,0,4,19,55,4,0,0,0,29,0
AM-DSB,0,110,1,0,0,10,1,0,0,0,78
AM-SSB,39,0,129,8,20,2,0,0,0,2,0
BPSK,31,0,5,138,11,0,3,0,0,12,0
CPFSK,54,0,2,11,105,13,0,0,0,15,0
GFSK,7,2,5,8,30,126,1,0,0,0,21
PAM4,1,0,1,5,0,0,193,0,0,0,0
QAM16,0,0,3,1,0,0,3,193,0,0,0
QAM64,0,0,1,0,0,0,0,10,189,0,0
QPSK,82,0,1,26,37,2,2,0,0,50,0
WBFM,1,74,3,1,5,16,0,0,0,0,100
