true_pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,194,0,2,0,0,0,0,0,0,4,0
AM-DSB,0,151,0,0,0,0,0,0,0,0,49
AM-SSB,0,0,200,0,0,0,0,0,0,0,0
BPSK,0,0,5,194,0,0,1,0,0,0,0
CPFSK,0,0,0,0,200,0,0,0,0,0,0
GFSK,0,0,0,0,0,200,0,0,0,0,0
PAM4,0,0,0,0,0,0,200,0,0,0,0
QAM16,0,0,0,0,0,0,0,200,0,0,0
QAM64,0,0,2,0,0,0,0,2,196,0,0
QPSK,1,0,1,0,0,0,1,0,0,197,0
WBFM,0,75,0,0,0,2,0,0,0,0,123
