snr,trial,f1,precision,recall,arch,aug,timestamp
6,1,0.907061,0.908310,0.907727,"[(2, [32, 128], 5, 2, [512], [10], 0.0), (2, [128, 128], 7, 2, [512], [15], 0.0), (2, [32, 32], 3, 2, [2048], [10], 0.1), (2, [128, 128], 7, 2, [2048], [15], 0.0)]",AutoSMC + IQ-Mixup (Method 1),2026-04-25T17:49:14.886791
6,2,0.927174,0.928182,0.927727,"[(3, [32, 32, 64], 3, 3, [1024], [15], 0.1), (2, [128, 64], 5, 2, [2048], [10], 0.1), (2, [64, 32], 3, 2, [512], [10], 0.001), (2, [64, 128], 3, 2, [2048], [10], 0.001)]",AutoSMC + IQ-Mixup (Method 1),2026-04-25T18:39:59.763917
6,3,0.876779,0.877691,0.877273,"[(2, [64, 64], 3, 2, [2048], [15], 0.1), (2, [32, 128], 7, 2, [2048], [15], 0.1), (2, [64, 64], 3, 2, [1024], [15], 0.001), (3, [128, 32, 32], 7, 3, [2048], [15], 0.0)]",AutoSMC + IQ-Mixup (Method 1),2026-04-25T19:29:14.593283
6,4,0.918210,0.918989,0.918636,"[(2, [32, 64], 5, 2, [512], [10], 0.1), (2, [128, 64], 5, 2, [2048], [10], 0.1), (2, [128, 32], 3, 2, [512], [10], 0.0), (2, [64, 64], 5, 2, [2048], [10], 0.1)]",AutoSMC + IQ-Mixup (Method 1),2026-04-25T20:13:14.342550
