true_pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,172,0,2,0,0,1,0,0,0,25,0
AM-DSB,0,150,0,0,0,0,0,0,0,0,50
AM-SSB,0,0,200,0,0,0,0,0,0,0,0
BPSK,0,0,5,195,0,0,0,0,0,0,0
CPFSK,0,0,0,0,200,0,0,0,0,0,0
GFSK,0,0,0,0,0,200,0,0,0,0,0
PAM4,0,0,0,0,0,0,200,0,0,0,0
QAM16,0,0,0,0,0,0,0,196,4,0,0
QAM64,0,0,2,0,0,0,0,1,197,0,0
QPSK,7,0,1,0,0,0,1,0,0,191,0
WBFM,0,70,0,0,0,1,0,0,0,0,129
