true_pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,97,0,1,0,2,1,0,0,0,99,0
AM-DSB,0,93,0,0,0,1,0,0,0,0,106
AM-SSB,0,0,200,0,0,0,0,0,0,0,0
BPSK,0,0,3,194,0,1,2,0,0,0,0
CPFSK,1,0,0,0,199,0,0,0,0,0,0
GFSK,0,1,0,0,1,188,0,0,0,0,10
PAM4,0,0,4,0,0,0,196,0,0,0,0
QAM16,0,0,2,0,0,0,0,195,3,0,0
QAM64,0,0,0,0,0,0,0,0,200,0,0
QPSK,74,0,3,3,1,1,0,0,0,118,0
WBFM,0,46,0,0,0,13,0,0,0,0,141
