snr,trial,f1,precision,recall,arch,aug,timestamp
2,1,0.860399,0.868339,0.865455,"[(2, [32, 128], 5, 2, [512], [10], 0.0), (2, [128, 128], 7, 2, [512], [15], 0.0), (2, [32, 32], 3, 2, [2048], [10], 0.1), (2, [128, 128], 7, 2, [2048], [15], 0.0)]",AutoSMC + All Methods (1+4+5 Combined),2026-04-24T21:50:56.571761
2,2,0.872085,0.877312,0.876364,"[(3, [32, 32, 64], 3, 3, [1024], [15], 0.1), (2, [128, 64], 5, 2, [2048], [10], 0.1), (2, [64, 32], 3, 2, [512], [10], 0.001), (2, [64, 128], 3, 2, [2048], [10], 0.001)]",AutoSMC + All Methods (1+4+5 Combined),2026-04-24T22:44:26.407831
2,3,0.857132,0.857893,0.859545,"[(2, [64, 64], 3, 2, [2048], [15], 0.1), (2, [32, 128], 7, 2, [2048], [15], 0.1), (2, [64, 64], 3, 2, [1024], [15], 0.001), (3, [128, 32, 32], 7, 3, [2048], [15], 0.0)]",AutoSMC + All Methods (1+4+5 Combined),2026-04-24T23:36:27.673311
2,4,0.862016,0.862930,0.864545,"[(2, [32, 64], 5, 2, [512], [10], 0.1), (2, [128, 64], 5, 2, [2048], [10], 0.1), (2, [128, 32], 3, 2, [512], [10], 0.0), (2, [64, 64], 5, 2, [2048], [10], 0.1)]",AutoSMC + All Methods (1+4+5 Combined),2026-04-25T00:23:23.541313
