true_pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,182,0,2,2,0,2,0,0,0,12,0
AM-DSB,0,147,0,0,0,0,0,0,0,0,53
AM-SSB,0,0,200,0,0,0,0,0,0,0,0
BPSK,0,0,4,196,0,0,0,0,0,0,0
CPFSK,0,0,0,0,200,0,0,0,0,0,0
GFSK,0,0,0,0,0,200,0,0,0,0,0
PAM4,0,0,5,0,0,0,195,0,0,0,0
QAM16,0,0,3,0,0,0,0,194,3,0,0
QAM64,0,0,0,0,0,0,0,2,198,0,0
QPSK,10,0,2,2,1,0,0,0,0,185,0
WBFM,0,89,0,0,0,2,0,0,0,0,109
