true_pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,191,0,2,0,0,0,0,0,0,7,0
AM-DSB,0,154,0,0,0,0,0,0,0,0,46
AM-SSB,0,0,200,0,0,0,0,0,0,0,0
BPSK,0,0,5,194,0,0,0,0,0,1,0
CPFSK,0,0,0,0,200,0,0,0,0,0,0
GFSK,0,0,0,0,0,200,0,0,0,0,0
PAM4,0,0,0,1,0,0,199,0,0,0,0
QAM16,0,0,0,0,0,0,0,198,1,1,0
QAM64,0,0,2,0,0,0,0,13,185,0,0
QPSK,9,0,1,0,0,0,0,0,0,190,0
WBFM,0,85,0,0,0,2,0,0,0,0,113
